username,password,user_email,role_name
courtney65,b'gAAAAABn0GA5X-VeoxBhnP3NBphImmrSttHRWgkYm6N-zkfsH0_aygeY4SYAcUEvrGGH0ncMGSLo2aaIB24GRHPKhWxE5G1U8w==',mccannsavannah@example.net,admin
zbrewer,b'gAAAAABn0GA5nwN-2aINkz492NBz7lAwsRBNYgy4dx47BOINBK-3XhAnjGA8wihZXcj4bkTix0sGykX4ctuyw8vcKaq9BuDHcQ==',amy22@example.com,patient
jessicaali,b'gAAAAABn0GA5hg1RdHFwt2nQ61MvPA2Rgk2Doh-Kp25fH4WfJ_V0cge_WStJ-e9dL8og_bhKstLk9KFAta9QF6egTdF2trGDwg==',ivalenzuela@example.com,patient
sancheztaylor,b'gAAAAABn0GA58NgHZ8JRNSDG0ImxGY3RvjhniZmcbJNqM2PvsrPNT504J1Bo9EKa58f-iicC8uu4jMgT0z7R5mNr2MhRQ-E7Ww==',smithkeith@example.net,patient
brian39,b'gAAAAABn0GA5nF4Unq_lGywccPDEOwPi9XXVGmPivpJbopCtGffylROyqxuCVjI3YdxOT8BK4qCI6uy0R91LJcpTlKDsssuvbA==',moralescatherine@example.org,admin
abigailstanton,b'gAAAAABn0GA5eN4LtpON7Nb3z9nFvjP7HzYAgggUxsL5MV929ikPzEz0KKAA3bpUmHZLkmVZHV-tR7P9XlnkxghUPc_ZTvmpOg==',oking@example.com,patient
jessicaburch,b'gAAAAABn0GA5Gwgi_4JIzUk2gjnQJOqErcTjnmlthK31w7V98rtHNK6OGDsRBtDOXJG5U3ogd5pjzVXb2ybBgXtdHiHeveCgnA==',eroberson@example.com,medic
richardroman,b'gAAAAABn0GA5iUKLC27h099ABOt1KWATGI1WXT2YjVdzi9UUjWix5mtL-Ka3cf05XyGUJHimEkTfUrnteRDfdJVhc2Bw-H7YwQ==',mitchellchristian@example.com,patient
moneill,b'gAAAAABn0GA5uL1E8WgdgbpL3proSR2maEsBNeX8ihZwbS5VGTi6iISWwnymqV7fStuyZDtBnEFbMH5bCzqTMXaRdiJGTbliwg==',hernandezkathryn@example.net,admin
christian02,b'gAAAAABn0GA5KkQPl8pWEaHJEADN5WhIs-F2ZN6fDdAlzk6sm0W1YNWUmdXE1zwrhunN7nepLNbZwAj-lfMYzZLdybiJ57wWbw==',marissa81@example.org,medic
